time,bmu_x,bmu_y,label_raw,actual_base,pred_base_from_train,correct_base,correct_composite
2000/01/01,4,0,1,1,3B,0,0
2000/01/02,3,0,3C+2D,,3B,0,0
2000/01/03,3,3,2A,2A,1,0,0
2000/01/04,3,1,1+2A,,1,0,1
2000/01/05,3,0,3C,3C,3B,0,0
2000/01/06,9,5,2D,2D,3B,0,0
2000/01/07,1,2,2A,2A,2A,1,1
2000/01/08,9,3,1+3B,,3B,0,1
2000/01/09,6,1,3C,3C,3B,0,0
2000/01/10,3,4,2D,2D,2D,1,1
2000/01/11,3,1,1,1,1,1,1
2000/01/12,5,0,3A,3A,3B,0,0
2000/01/13,6,4,2D,2D,2B,0,0
2000/01/14,2,3,1+2B,,2A,0,0
2000/01/15,4,1,1,1,1,1,1
2000/01/16,5,4,1+4B,,2D,0,0
2000/01/17,4,4,2C,2C,2D,0,0
2000/01/18,4,4,1,1,2D,0,0
2000/01/19,3,2,1+2B,,1,0,1
2000/01/20,3,3,1+2A,,1,0,1
2000/01/21,4,2,1,1,1,1,1
2000/01/22,5,0,3B,3B,3B,1,1
2000/01/23,7,4,2A+2B,,2D,0,0
2000/01/24,4,3,1+4B,,1,0,1
2000/01/25,4,3,1+4B,,1,0,1
2000/01/26,4,2,1,1,1,1,1
2000/01/27,5,2,1,1,1,1,1
2000/01/28,5,2,1,1,1,1,1
2000/01/29,6,0,3B,3B,3B,1,1
2000/01/30,7,4,2A,2A,2D,0,0
2000/01/31,4,2,1,1,1,1,1
2000/02/01,4,2,1,1,1,1,1
2000/02/02,4,2,1,1,1,1,1
2000/02/03,5,1,3C,3C,1,0,0
2000/02/04,4,2,1+4B,,1,0,1
2000/02/05,5,0,3B,3B,3B,1,1
2000/02/06,5,0,2D,2D,3B,0,0
2000/02/07,3,4,2D,2D,2D,1,1
2000/02/08,4,4,2D,2D,2D,1,1
2000/02/09,3,2,1,1,1,1,1
2000/02/10,4,1,1+3B,,1,0,1
2000/02/11,5,2,1+3C,,1,0,1
2000/02/12,4,2,1+3B,,1,0,1
2000/02/13,4,1,1,1,1,1,1
2000/02/14,6,4,2D,2D,2B,0,0
2000/02/15,3,3,1+2A,,1,0,1
2000/02/16,3,2,1,1,1,1,1
2000/02/17,3,2,1,1,1,1,1
2000/02/18,4,2,1,1,1,1,1
2000/02/19,5,0,3B-2C,,3B,0,1
2000/02/20,4,4,2C,2C,2D,0,0
2000/02/21,3,2,1,1,1,1,1
2000/02/22,3,1,1,1,1,1,1
2000/02/23,4,0,1,1,3B,0,0
2000/02/24,3,3,1+2A,,1,0,1
2000/02/25,3,1,1,1,1,1,1
2000/02/26,3,0,2D,2D,3B,0,0
2000/02/27,3,4,1+2B,,2D,0,0
2000/02/28,4,2,2A+2B,,1,0,0
2000/02/29,4,2,1,1,1,1,1
2000/03/01,5,1,3B,3B,1,0,0
