time,bmu_x,bmu_y,label_raw,actual_base,pred_base_from_train,correct_base,correct_composite
2000/01/01,0,0,1,1,2D,0,0
2000/01/02,1,1,3C+2D,,3C,0,1
2000/01/03,2,0,2A,2A,2D,0,0
2000/01/04,5,0,1+2A,,1,0,1
2000/01/05,0,0,3C,3C,2D,0,0
2000/01/06,0,5,2D,2D,4A,0,0
2000/01/07,6,6,2A,2A,2A,1,1
2000/01/08,7,5,1+3B,,2D,0,0
2000/01/09,2,4,3C,3C,3B,0,0
2000/01/10,2,0,2D,2D,2D,1,1
2000/01/11,6,0,1,1,1,1,1
2000/01/12,0,1,3A,3A,2D,0,0
2000/01/13,0,2,2D,2D,4B,0,0
2000/01/14,2,0,1+2B,,2D,0,0
2000/01/15,0,0,1,1,2D,0,0
2000/01/16,0,0,1+4B,,2D,0,0
2000/01/17,1,0,2C,2C,2D,0,0
2000/01/18,1,0,1,1,2D,0,0
2000/01/19,6,0,1+2B,,1,0,1
2000/01/20,7,0,1+2A,,1,0,1
2000/01/21,6,0,1,1,1,1,1
2000/01/22,5,2,3B,3B,1,0,0
2000/01/23,0,0,2A+2B,,2D,0,0
2000/01/24,7,0,1+4B,,1,0,1
2000/01/25,7,0,1+4B,,1,0,1
2000/01/26,7,0,1,1,1,1,1
2000/01/27,7,1,1,1,1,1,1
2000/01/28,6,2,1,1,1,1,1
2000/01/29,0,1,3B,3B,2D,0,0
2000/01/30,1,0,2A,2A,2D,0,0
2000/01/31,7,0,1,1,1,1,1
2000/02/01,8,1,1,1,1,1,1
2000/02/02,7,2,1,1,1,1,1
2000/02/03,6,3,3C,3C,3B,0,0
2000/02/04,6,1,1+4B,,1,0,1
2000/02/05,5,2,3B,3B,1,0,0
2000/02/06,1,1,2D,2D,3C,0,0
2000/02/07,7,0,2D,2D,1,0,0
2000/02/08,7,0,2D,2D,1,0,0
2000/02/09,9,0,1,1,1,1,1
2000/02/10,9,2,1+3B,,1,0,1
2000/02/11,8,4,1+3C,,1,0,1
2000/02/12,8,2,1+3B,,1,0,1
2000/02/13,6,2,1,1,1,1,1
2000/02/14,7,2,2D,2D,1,0,0
2000/02/15,9,0,1+2A,,1,0,1
2000/02/16,9,0,1,1,1,1,1
2000/02/17,9,1,1,1,1,1,1
2000/02/18,8,2,1,1,1,1,1
2000/02/19,5,3,3B-2C,,3B,0,1
2000/02/20,2,0,2C,2C,2D,0,0
2000/02/21,9,0,1,1,1,1,1
2000/02/22,8,1,1,1,1,1,1
2000/02/23,6,2,1,1,1,1,1
2000/02/24,7,1,1+2A,,1,0,1
2000/02/25,5,1,1,1,1,1,1
2000/02/26,4,2,2D,2D,3B,0,0
2000/02/27,4,0,1+2B,,1,0,1
2000/02/28,7,0,2A+2B,,1,0,0
2000/02/29,5,1,1,1,1,1,1
2000/03/01,9,4,3B,3B,3B,1,1
2000/03/02,4,3,3C,3C,3B,0,0
2000/03/03,9,8,3B,3B,3B,1,1
2000/03/04,8,6,2A+4A,,3B,0,0
2000/03/05,8,5,1+4B,,2D,0,0
2000/03/06,3,1,3B+4B,,1,0,0
2000/03/07,3,0,2A-1,,2D,0,0
2000/03/08,9,1,1+2A,,1,0,1
2000/03/09,9,2,1,1,1,1,1
2000/03/10,9,4,3B,3B,3B,1,1
2000/03/11,9,5,3D-2C,,3B,0,0
2000/03/12,7,3,2C-1,,1,0,1
2000/03/13,8,2,1+2A,,1,0,1
2000/03/14,6,2,1,1,1,1,1
2000/03/15,4,3,3B,3B,3B,1,1
2000/03/16,5,6,2D,2D,4A,0,0
2000/03/17,4,0,1,1,1,1,1
2000/03/18,4,3,3B,3B,3B,1,1
2000/03/19,6,4,2D,2D,3B,0,0
2000/03/20,4,0,1-3B,,1,0,1
2000/03/21,5,0,2B+3B,,1,0,0
2000/03/22,3,2,2D-3B,,3B,0,1
2000/03/23,1,8,3B-2D,,4A,0,0
2000/03/24,6,6,2D-1,,2A,0,0
2000/03/25,9,1,1+2A,,1,0,1
2000/03/26,9,3,1+2A,,1,0,1
2000/03/27,9,7,3B+3D,,3B,0,1
2000/03/28,1,7,2B,2B,2D,0,0
2000/03/29,6,6,2B,2B,2A,0,0
2000/03/30,9,2,2A+3D,,1,0,0
2000/03/31,9,5,3D,3D,3B,0,0
2000/04/01,8,3,2A+4B,,1,0,0
2000/04/02,5,3,3B,3B,3B,1,1
2000/04/03,3,4,3B+4B,,3B,0,1
2000/04/04,3,5,3C+4B,,3B,0,0
2000/04/05,6,5,2A+2C,,4A,0,0
2000/04/06,8,6,2A-3B,,3B,0,1
2000/04/07,9,5,3C,3C,3B,0,0
2000/04/08,9,6,2A+3B,,3B,0,1
2000/04/09,9,8,3B,3B,3B,1,1
